Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop Asus VivoBook S 14 Flip TP3402VA-LZ031W,8,"Kích thước nhỏ gọn 14 inch với trọng lượng chỉ 1.5kg
CPU Intel Core i5-13500H mạnh mẽ cân mọi tác vụ văn phòng như: Word, Excel, PowerPoint,...
Card đồ họa tích hợp Intel UHD Graphics cho mọi thước phim hấp dẫn, sắc nét
Ram 16GB DDR4 hoàn thành đa tác vụ một cách mượt mà
Ổ cứng 512GB SSD tốc độ siêu cao giúp việc khởi động, tắt máy và chạy các ứng dụng cực nhanh
Màn hình cảm ứng đa điểm, độ trễ thấp hỗ trợ sử dụng bút cảm ứng cực tiện lợi
",,,18.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Lenovo Ideapad 15IAU7 82RK001QVN,5,"Chip Core i5-1235U cùng card Intel Iris Xe Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS.
Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.
Màn hình Full HD, kích thước chuẩn 15.6 inch, tấm nền TN, 250nits Chống chói bảo vệ mắt, mang lại chất lượng hiển thị sắc nét.
Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái.
Thiết kế vỏ nhựa cứng cáp, nặng 1.63 kg thuận tiện di chuyển, mang theo.
Máy đi kèm Windows 11 bản quyền.


",,,14.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Lenovo IdeaPad 3 14ITL6 82H701QWVN,0,"Mang thiết kế thanh lịch, tao nhã với cân nặng chỉ nhẹ vỏn vẹn 1.41 kg
Màn hình 14 inch Full HD cùng viền máy đã được thu nhỏ tạo cảm giác góc nhìn mở rộng hơn
Cân mọi tác vụ học tập, làm việc trên các phần mềm của nhà Office như Word, Excel, PowerPoint,... với CPU Intel Core i3 1115G4
Có thể nâng cấp lên RAM tối đa 16 GB hỗ trợ mở mượt mà trên 10 tab Chrome cùng lúc
Trang bị đầy đủ cổng kết nối USB 3.2, HDMI, USB 2.0, USB Type-C,... giúp bạn dễ dàng kết nối với mọi thiết bị tương thích
",,,9.990.000 đ,,"Intel Core i3-1115G4 (2 lõi / 4 luồng, 3.0 / 4.1GHz, 6MB)",8GB,DDR4-3200 Onboard,2 khe nâng cấp tối đa 16GB (8GB Onboard + 1 khe trống),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 300nits",HD 720p với màn trập camera,Có,Windows 11 Home,Wi-Fi 11ac 2x2,Bluetooth 5.0,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
Stereo speakers, 1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",45Wh,324.2 x 215.7 x 19.9 mm (W x D x H),1.41 kg,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,Intel UHD Graphics,,
Van phong,Laptop Asus ExpertBook B1 B1500CBA-BQ0249W,0,"Sở hữu thiết kế tinh tế với tone màu đen sang trọng cùng trọng lượng chỉ 1.73 kg
Hỗ trợ xử lý nhanh gọn các tác vụ văn phòng Word, Excel, PowerPoint,... với CPU Intel Core i5-1235U
Card Intel UHD Graphics giúp chỉnh sửa hình ảnh cơ bản
RAM 8GB cùng ổ cứng 512GB SSD hỗ trợ lưu trữ mọi file, tài liệu,...
Màn hình 15.6 inch Full HD giúp giải trí, làm việc với màu sắc sống động, chân thực
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus VivoBook 15 X1504VA-NJ070W,15,"Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc chính xác
Bộ vi xử lý Intel Core i5 1335U mạnh mẽ chạy đa tác vụ mượt mà
Card tích hợp Intel Iris Xe Graphics giúp cải thiện hiệu suất xử lý đồ họa cũng như chơi game cơ bản
RAM 16 GB DDR4 cung cấp khả năng đa nhiệm trơn tru với tốc độ truyền dữ liệu nhanh
Ổ cứng SSD 512 GB giúp máy khởi động, tải ứng dụng và tập tin ngay tức thì
",,,15.990.000 đ,,"Intel Core i5-1335U (12MB Cache, 1.3 GHz up to 4.6 GHz, 10 lõi / 12 luồng)",16GB,DDR4,2 khe (8GB Onboard + 8GB SO-DIMM),512GB M.2 NVMe PCIe 3.0 SSD,Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp với Touchpad
McAfee LiveSafe
Khởi động BIOS bảo vệ mật khẩu người dùng
Mật khẩu người dùng thiết lập BIOS
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 2*2 +,Bluetooth 5,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","42WHrs, 3S1P, 3-cell Li-ion",35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x DC-in",60 Hz,,,,,Màn hình,Intel Iris Xe Graphics,,
Van phong,Laptop MSI Modern 15 B7M-231VN,10,"Sở hữu màu đen sang trọng, thanh lịch, dễ dàng che đi các vết bẩn, trọng lượng laptop nhẹ, chỉ 1.75kg
CPU R5-7530U thích hợp cho việc giải quyết các công việc văn phòng, lướt web cũng như xử lý ảnh nhẹ
Màn hình 15.6 inch Full HD giúp bạn có thể trải nghiệm hình ảnh tốt, chân thật
RAM 16GB giúp mở được nhiều tab, hỗ trợ quá trình làm việc trở nên hiệu quả hơn
Ổ cứng SSD 512GB cho phép lưu trữ dữ liệu lớn mà không cần sao chép quá USB
",5.0/5,1.0,13.490.000 đ,AMD Radeon Graphics,"AMD Ryzen 5 7530U (2.0 GHz up to 4.5 GHz, 6 lõi / 12 luồng, 16 MB)",16GB,DDR4 3200MHz,2 khe RAM,512GB SSD M.2 NVMe,Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD Webcam 720p,,Windows 11 Home,802.11ax,Bluetooth,,"Ổ cứng SSD, Wi-Fi 6",40 Wh 3 Cell,359 x 241 x 19.9 mm,1.7 kg,"1 x HDMI
1 x USB Type C
1 x USB 3.2
2 x USB 2.0
1 x Jack cắm âm thanh",,,,,,,,,
Sinh vien,Laptop Acer Aspire 3 A315-58-59LY NX.ADDSV.00G,1,"RAM 8 GB - Mở hàng loạt các cửa sổ trình duyệt, ổ cứng 512 SSD lưu trữ thoải mái
Công nghệ Stereo Speaker - Mang đến chất âm rõ ràng
Đa nhiệm mượt mà với ram 8GB, 512GB SSD phản hồi nhanh chóng
Dày chỉ 19.9mm, nặng chỉ 1.7kg - phù hợp mang theo mọi nơi
",,,Giá Liên Hệ,Intel Iris Xe Graphics,Intel Core i5 Tiger Lake - 1135G7,8GB,DDR4 2400Mhz,1 khe cắm rời hỗ trợ tối đa 12GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",Vỏ nhựa,,Không,Tấm nền TFT,15.6 inches,1920 x 1080 pixels (FullHD),Công nghệ Acer ComfyView,720P,,Windows 11 Home SL,Wi-Fi 802.11 a/b/g/n/ac,v5.0,Loa kép,Ổ cứng SSD,"2-cell Li-ion, 36.7 Wh",Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm,1.7 kg,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",,,,,,,,,
Van phong,Laptop HP Pavilion 15-EG2089TU 7C0R1PA,2,"Sở hữu thiết kế tối giản thiết kế gọn nhẹ cùng khối lượng chỉ 1.75 kg có thể bỏ máy gọn gàng vào balo và mang theo đến bất kì nơi nào, từ lớp học tới cơ quan mà không gặp phải bất kì trở ngại nào.
Màn hình 15.6 inch, độ phân giải Full HD, không chỉ mang đến chất lượng hình ảnh sắc nét, sống động với màn hình lớn mà còn đảm bảo những giây phút giải trí hoàn hảo.
Bộ vi xử lý Intel Core i7-1260P cực kì mạnh mẽ mang đến những cải tiến vượt bậc giúp tiết kiệm năng lượng kéo dài đáng kể thời gian sử dụng.
8GB RAM với khả năng đa nhiệm mượt mà, bạn có thể đồng thời mở nhiều tab và ứng dụng phục vụ cho công việc của mình mà không xảy ra tình trạng giật, lag.
Ổ cứng dung lượng lớn 512GB cho bạn một không gian lưu trữ lớn mà đồng thời còn giúp cho việc khởi động máy và mở các ứng dụng trở nên nhanh chóng hơn.
Touchpad có diện tích khá rộng, được phủ một lớp nhám mịn giúp cho việc thao tác chuột trở nên thuận tiện hơn.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop HP Elitebook 840 G6,0,"Sở hữu thiết kế gọn gàng và đơn giản với lớp vỏ bạc sáng bóng
Màn hình 14 inch FullHD cho chất lượng hiển thị rõ ràng, sắc nét
CPU Intel là Core i5-8350U cùng đồ họa Intel UHD Graphics 620 hỗ trợ làm việc, chỉnh sửa ảnh đơn giản, giải trí mượt mà
8GB RAM giúp duyệt web nhanh chóng mà không lo giật, lag
Ổ cứng 256GB SSD cho không gian lưu trữ vừa đủ
",,,Giá Liên Hệ,,"Intel Core i5 8365U (1.6GHz, Upto 4.1GHz, 4 lõi / 8 luồng, 6MB Cache)",8GB,DDR4 2660MHz,,SSD M2 256GB NVMe,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),,,,Windows 10 Pro,,,,Ổ cứng SSD,,326 x 234 x 18 mm (Dài x Rộng x Dày),1.4 kg,"2x USB 3.0
1x USB 3.1 Type-C
1x LAN
1x HDMI
1x SD Card",,,,,,,Intel UHD 620,,
Van phong,Laptop LG GRAM 2023 14ZD90R-G.AX52A5,0,"Sở hữu thiết kế mỏng nhẹ chỉ 999g giúp bạn dễ dàng mang theo bên mình
Chip i5-1340P cùng Intel Iris Xe Graphics giúp bạn chỉnh sửa hình ảnh trên PTS và công việc văn phòng
Màn hình 14 inch có độ phủ màu DCI-P3 99% kết hợp với độ phân giải WUXGA giúp hình ảnh trở nên chân thật, rõ nét hơn
Âm thanh HD kết hợp cùng Dolby Atmos giúp bạn có những giây phút trải nghiệm âm nhạc tuyệt vời
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop HP Pavilion 14-DV2076TU 7C0P4PA,10,"Sở hữu thiết kế nổi bật với lớp vỏ được phủ màu vàng gold sang trọng, cùng với kích thước máy cực gọn nhẹ chỉ vỏn vẹn 1.41kg.
Màn hình 14 inch Full HD đi cùng tấm nền IPS cho góc nhìn rộng lên đến 178 độ dù nhìn ở góc nào thì chất lượng hình ảnh cũng không bị bóp méo.
CPU Intel Core i5-1235U kết hợp cùng card Intel Iris Xe Graphics đa nhiệm, không chỉ giải quyết nhanh mọi tác vụ học tập, văn phòng như: Word, Excel, PowerPoint,... mà còn hỗ trợ chỉnh sửa hình ảnh cơ bản trên các phần mềm Lightroom, Photoshop,...
Trang bị RAM 8 GB và ổ cứng 256 GB PCIe NVMe M.2 SSD giúp mở rộng không gian lưu trữ đồng thời hỗ trợ mở nhiều tab duyệt web cùng lúc hay khởi động máy, mở ứng dụng chỉ trong tích tắc.
Máy hỗ trợ các cổng kết nối thông dụng như: USB Type-C, USB Type-A, HDMI 2.0, Jack tai nghe/mic,... giúp bạn truyền file, chia sẻ dữ liệu nhanh chóng.
",,,14.590.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop MSI Modern 15 B7M-231VN,10,"Sở hữu màu đen sang trọng, thanh lịch, dễ dàng che đi các vết bẩn, trọng lượng laptop nhẹ, chỉ 1.75kg
CPU R5-7530U thích hợp cho việc giải quyết các công việc văn phòng, lướt web cũng như xử lý ảnh nhẹ
Màn hình 15.6 inch Full HD giúp bạn có thể trải nghiệm hình ảnh tốt, chân thật
RAM 16GB giúp mở được nhiều tab, hỗ trợ quá trình làm việc trở nên hiệu quả hơn
Ổ cứng SSD 512GB cho phép lưu trữ dữ liệu lớn mà không cần sao chép quá USB
",5.0/5,1.0,13.490.000 đ,AMD Radeon Graphics,"AMD Ryzen 5 7530U (2.0 GHz up to 4.5 GHz, 6 lõi / 12 luồng, 16 MB)",16GB,DDR4 3200MHz,2 khe RAM,512GB SSD M.2 NVMe,Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD Webcam 720p,,Windows 11 Home,802.11ax,Bluetooth,,"Ổ cứng SSD, Wi-Fi 6",40 Wh 3 Cell,359 x 241 x 19.9 mm,1.7 kg,"1 x HDMI
1 x USB Type C
1 x USB 3.2
2 x USB 2.0
1 x Jack cắm âm thanh",,,,,,,,,
Van phong,Laptop Lenovo Thinkpad X1 Carbon gen 5,0,"Sử dụng CPU Intel Core i5 6300U giúp bạn xử lý tốt các tác vụ văn phòng
Trang bị nhiều cổng kết nối giúp quá trình truyền và xuất dữ liệu trở nên dễ dàng, thông dụng hơn: Thẻ nhớ Micro SD, Cổng USB Type-C,...
Màn hình 14 inch kết hợp cùng độ phủ màu 100% sRGB cho chất lượng hiển thị hình ảnh trở lên tốt hơn
Thiết kế laptop sang trọng, mỏng nhẹ, trọng lượng chi 1.13 kg, thích hợp cho những bạn sinh viên mang theo bên mình
RAM 8GB kết hợp cùng ổ cứng SSD giúp bạn mở được nhiều tab và chứa được nhiều dữ liệu hơn
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Inspiron 5425,3,"Hiệu năng được nâng cấp mạnh mẽ với Ryzen 5 - 5625U được tích hợp 16GB RAM
Trang bị đầy đủ hệ thống các cổng kết nối như cổng USB 3.2 Gen 1, USB 3.2 Gen 2 Type-C, HDMI 1.4, jack cắm 3.5mm và khe cắm thẻ SD.
Thiết kế sang trọng, gọn nhẹ chỉ 1.54kg thích hợp để mang đi khắp mọi nơi.
Không gian hiển thị tối ưu với công nghệ Dolby Vision cho hiệu ứng của màu đen có độ sâu hơn và vùng sáng chói trên nội dung của HDR.
",,,Giá Liên Hệ,AMD Radeon Graphics,AMD R5-5625U,16GB,DDR4 3200 Mhz,,"512GB , M.2 NVMe SSD",,,Không,Tấm nền WVA,14 inches,1920 x 1200 pixels (FullHD+),250 nits,,Có,Windows 11,,,Dolby Vision,"Ổ cứng SSD, Wi-Fi 6",,,1.54kg,"1 x USB Type C
2 x USB Type A
HDMI
Jack tai nghe 3.5mm",60Hz,,,,,,,,
Sinh vien,Laptop HP Probook 450 G3,0,"Sở hữu thiết kế mỏng nhẹ nhưng khá chắc chắn
Màn hình LED 15.6 inch sắc nét, làm việc, giải trí thoải mái
CPU Intel Core i5-6200U cùng đồ họa Intel HD Graphics 520 đáp ứng đủ các nhu cầu học tập, làm việc
Dung lượng 500 GB cho không gian đủ lớn để lưu trữ tài liệu, hình ảnh, nhạc, phim,...
Trang bị đầy đủ các cổng kết nối thông dụng dễ dàng kết nối, truyền tải dữ liệu
",,,Giá Liên Hệ,Intel HD Graphics 520,"Intel Core i5 - 6200U (2.30 GHz, up to 2.80 GHz, 2 lõi / 4 luồng, 3 MB)",4GB,DDR3 1600 MHz,2 khe (Nâng cấp tối đa 32GB),500 GB HDD,,,Không,,15.6 inches,1366 x 768 pixels,Màn hình chống chói,720p HD Webcam,Có,Windows 7 Professional 64-bit,802.11a/b/g/n/ac,Bluetooth 4.0,HD audio với DTS Studio Sound,,44 WHr Li-ion 4-cell,0.98 x 14.88 10.41 mm (H x W x D),2.11 kg,"2x USB 3.0
2x USB 2.0
RJ-45
1x Combo headphone / microphone jack",,,,,,,,,
Sinh vien,Laptop MSI Modern 15 B7M-238VN,4,"Trang bị màn hình viền siêu mỏng, trọng lượng chị 1.75kg thích hợp mang theo bên mình
CPU R7 7730U giúp bạn dễ dàng xử lý tốt các tác vụ văn phòng cùng chỉnh ảnh nhẹ
Màn hình 15.6 inch Full HD giúp chất lượng hình ảnh hiển thị tốt và chân thật
Trang bị nhiều cổng kết nối giúp quá trình xuất/nhập dữ liệu trở nên dễ dàng, nhanh chóng
RAM 16GB cùng ổ cứng SSD 512GB giúp lưu trữ dữ liệu tốt nhưng không bị lag trong quá trình sử dụng
",,,14.990.000 đ,AMD Radeon Graphics,"AMD Ryzen 7 7730U (2.0 GHz up to 4.3 GHz, 8 lõi / 16 luồng, 24 MB)",16GB,DDR4 3200 MHz Onboard,,512 GB SSD,Vỏ nhựa,Mở khóa bằng mật mã,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,HD Webcam 720p,,Windows 11 Home,Wifi 6E,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",39.3Whr 3 Cell,359 x 241 x 19.9 mm,1.75 kg,"1 x HDMI
1 x Jack 3.5 mm
1 x Type C
1 x USB 3.2
2 x USB 2.0",60 Hz,LED,,,,,,,
Gaming,Laptop Gigabyte G5 GD-51VN123SO,24,"Sở hữu thiết kế cá tính mang đậm chất laptop gaming
Màn hình 15.6 inch đem tới những khung hình game sống động, chìm đắm
CPU Intel Core i5 11400H cân mọi tác vụ chơi game hay sử dụng ứng dụng chuyên nghiệp
RAM 16GB DDR4 cho khả năng đa nhiệm vượt trội, vừa chơi game vừa phát sóng trực tiếp mà không lo gặp vấn đề giật lag
Ổ cứng  512GB khả năng lưu trữ khổng lồ, thoải mái lưu trữ các tựa game và ứng dụng yêu thích
",,,17.990.000 đ,NVidia Geforce RTX 3050 4GB GDDR6,"Intel Core i5-11400H (6 lõi / 12 luồng, 2.70 GHz up to 4.50 GHz, 12 MB)",16GB,DDR4 3200Mhz,2 khe (Nâng cấp tối đa 64GB),512GB M.2 NVMe PCIe,Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Display LCD",HD Camera,Có,Windows 11 Home,Intel AX200,Bluetooth V5.2,,Ổ cứng SSD,48.96WHrs,36.1 x 25.8 x 2.49 ~ 3.16 cm (Dài x Rộng x Cao),2.03 kg,"1x USB2.0 Type-A
1x USB3.2 Gen1 Type-A
1x USB3.2 Gen2 Type-A
1x USB 3.2 Gen 2 Type-C
1x mini DP 1.4
1x HDMI 2.0 (with HDCP)
1x Audio combo jack
1x Microphone jack
1x Đầu đọc thẻ SD",144Hz,,,,,,,,
Gaming,Laptop MSI Gaming GF63 Thin 11UC-1228VN,22,"Laptop Gaming với thiết kế mỏng nhẹ đi cùng lớp áo đen huyền bí, trọng lượng siêu nhẹ trong dòng laptop Gaming chỉ 1.86kg dễ dàng mang đi mọi nơi.
CPU Intel Core i7-11800H cùng card đồ họa RTX 3050 cân mọi tựa game phổ biến hiện nay ở mức đồ họa Medium đến Hight mà không thua kèm gì với những chiếc PC gaming.
Laptop RAM 8GB DDR4 cùng ổ cứng 512GB đa nhiệm mượt mà, cho không gian lưu trữ lớn, mở máy nhanh chóng, thao tác nhanh gọn mà không lo lag, giật.
Màn hình 15.6 inch, độ phân giải Full HD cùng tấm nền IPS mang đến khung hình chi tiết, sắc nét. Tần số quét 144Hz giúp cho thao tác xoay, lướt nhanh chóng giúp game thủ dễ dàng hạ đối thủ, chiến thắng mọi tựa game.
Máy trang bị nhiều cổng kết nối: USB Type-C, USB Type-A, HDMI, RJ45,... hỗ trợ kết nối, truyền, tải dữ liệu nhanh chóng.
",,,18.790.000 đ,"NVIDIA GeForce RTX 3050, 4GB GDDR6",Intel Core i7-11800H Gen 11,8GB,DDR4-3200,2 khe,512GB PCIE,,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Tần số quét 144Hz,HD type (30fps@720p),Không,Windows 11,802.11 ax Wi-Fi 6,Bluetooth v5.2,2x 2W Speaker,"Ổ cứng SSD, Wi-Fi 6",3-Cell 52.4 (Whr),359 x 254 x 21.7 mm (W x D x H),1.86 kg,"1x Type-C USB3.2 Gen1
3x Type-A USB3.2 Gen1
1x (4K @ 30Hz) HDMI
1x RJ45
1x Mic-in
1x Headphone-out",,Đèn nền màu đỏ,,,,,,,
Sinh vien,Laptop Lenovo Thinkpad T480,0,"Thiết kế pin với thời lượng sử dụng cực khủng lên đến 30.3 giờ
Bàn phím linh hoạt, hành trình phím sâu, có độ nảy cực tốt
Hiệu suất mạnh mẽ, cân mọi tác vụ văn phòng với CPU Intel Core i7-8650U
RAM 32GB cùng ổ cứng SSD 1TB bật hàng chục tab trên Chrome vẫn chạy mượt mà, trơn tru, không giật lag
Màn hình 14 inch HD cực sắc nét, hỗ trợ làm việc, giải trí nhanh chóng
",,,Giá Liên Hệ,Intel UHD 620,Intel Core i7-8650U,32GB,DDR4,,1 TB OPAL2 M.2 SSD,,"Xác thực trực tuyến nhận dạng nhanh (FIDO)
Đầu đọc dấu vân tay cảm ứng Match-on-chip
Camera hồng ngoại (tùy chọn) để nhận dạng khuôn mặt
ThinkShutter (Chỉ với 720p HD camera)
dTPM 2.0
Khe khóa Kensington",Có,Tấm nền TN,14 inches,,,720p HD camera với màn trập camera,,Windows 10 Pro 64-bit,Intel Dual Band Wireless-AC (2 x 2),Bluetooth 4.2,Dolby Audio Premium,"Ổ cứng SSD, Màn hình cảm ứng, Bảo mật vân tay, Nhận diện khuôn mặt",Lên đến 30.3 giờ,336.6 x 232.5 x 19.95 mm (W x D x H),1.58 kg,"1x Intel Thunderbolt 3
1xUSB-C
2x USB 3.0
1x Headphone and microphone combo jack
1x Đầu đọc thẻ SD 4 trong 1 (SD, MMC, SDHC, SDXC)
1x HDMI
1x RJ45
1x Đầu đọc thẻ thông minh
1x Nano SIM",,,,,,Màn hình,,,
Sinh vien,Laptop Asus VivoBook 14X OLED S3405VA-KM071W,21,"Thiết kế laptop mỏng nhẹ với gam màu sang trọng, trọng lượng chỉ 1.4 kg, thích hợp để bạn mang theo bên mình
CPU Intel Core i9 - 13900H giúp bạn xử lý mượt mà các tác vụ văn phòng cùng xử lý hình ảnh nhẹ
Ổ cứng SSD 512GB có không gian lưu trữ lớn, giúp bạn không lo về việc cất giữ dữ liệu, tài liệu
Màn hình 14 inch kết hợp độ phủ màu DCI-P3 lên đến 100% giúp trải nghiệm hình ảnh, video trở nên sác nét, sống động
",5.0/5,1.0,23.090.000 đ,,"Intel Core i9-13900H (24MB Cache, up to 5.4GHz, 14 lõi / 20 luồng)",16GB,DDR4,2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM),512GB M.2 NVM PCIe 3.0 SSD,Vỏ kim loại,,Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,"Độ sáng tối đa 400 nits
Độ phủ màu DCI-P3:100%",720p HD với màn trập camera,Không,Windows 11 Home,Wi-Fi 6(802.11ax) (Dual band) 2x2,Bluetooth 5,,"Ổ cứng SSD, Wi-Fi 6","63WHrs, 3-cell Li-ion",31.71 x 22.25 x 1.89 ~ 1.89 cm (W x H x D),1.4 kg,"1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1
1x Jack cắm tai nghe",90Hz,,,,,,Intel Iris Xe Graphics,,
Van phong,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,0,"Mang thiết kế tối ưu và di động với trọng lượng nhẹ nhàng chỉ 1.37 kg
CPU Intel Core i5-12450H mạnh mẽ, xử lý từ những tác vụ văn phòng đơn giản tới những công việc thiết kế hình ảnh
16GB RAM đa nhiệm giúp làm việc với nhiều ứng dụng mà không lo lắng giật Lag
Ổ cứng SSD 512GB cho không gian lưu trữ lớn giúp khởi động máy hay mở tệp thư mục nhanh chóng
Màn hình 14 inch Full HD đảm bảo hiển thị hình ảnh có độ sắc nét cao tới từng chi tiết
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Vostro 5620 V6I5001W1,3,"Bộ xử lý Intel Core i5-1240P mạnh mẽ, xử lý được mọi tác vụ từ học tập cho đến văn phòng.
RAM 8GB DDR4 mang đến khả năng xử lý đa nhiệm cho mọi công việc.
Màn hình với kích thước 16 inch giúp bạn thoải mái làm việc
Hình ảnh sắc nét với màu sắc chân thực và sống động với độ phân giải FullHD cùng nghệ chống chói Anti Glare.
Bàn phím hỗ trợ LED tiện lợi khi sử dụng sẽ giúp bạn sử dụng tốt hơn trong điều kiện thiếu sáng. 
Máy đi kèm Windows 11 SL bản quyền
",,,18.490.000 đ,Intel Iris Xe Graphics,Intel Core i5-1240P,8GB,DDR4 3200MHz,"2 khe, Hỗ trợ tối đa 32GB",256GB SSD M.2 PCIE,Vỏ nhựa,Mở khóa vân tay,Không,Tấm nền WVA,16 inches,1920 x 1200 pixels (FullHD+),"Tần số quét 60hz
Độ sáng 250 nits",1080p,,Windows 11,802.11ax,v5.2,"2 loa
Stereo speakers with Waves MaxxAudio Pro,","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","4-cell Li-ion, 54 Wh",356.78 x 251.9 x 18.3mm,1.9 kg,"2 USB 3.2 Gen 1 Type-A ports
1 USB 3.2 Gen 2x1 Type-C port with Power Delivery and DisplayPort
1 Audio jack
1 HDMI 1.4 port
1 Power-adapter port",,,,,,,,,
